,_id,status,items,otp,button,paymentmode,userId,price,createdAt,updatedAt,__v
21,63e48b7311e4eb3328e965ad,COMPLETED,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}]",8245,False,KOT,633b2d92029cd83e7424ccd0,200,2023-02-09 05:58:11.366,2023-02-09 21:24:40.866,0
22,63e4926111e4eb3328e96993,COMPLETED,"[{'dishId': '633eea44ddda646c34132045', 'qty': 1}]",7051,False,KOT,63aa73ccf0292921f4e7c2cb,200,2023-02-09 06:27:45.892,2023-02-10 07:09:16.116,0
23,63e5100c05861c20302bf08d,NEW,"[{'dishId': '633e14293c019d3208f40d85', 'qty': 2}]",7552,False,KOT,63abbf9fbeea136350a4b38f,400,2023-02-09 15:23:56.299,2023-02-09 15:23:56.299,0
24,63e51b274bde7a495d8ec15e,COMPLETED,"[{'dishId': '635a1cad06025e10cb96ef0b', 'qty': 1}]",9672,False,KOT,63aa73ccf0292921f4e7c2cb,60,2023-02-09 16:11:19.518,2023-02-10 07:19:51.256,0
25,63e53cf2bc76bd300c9dc05c,COMPLETED,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",7973,False,KOT,63aa73ccf0292921f4e7c2cb,1,2023-02-09 18:35:30.971,2023-02-10 07:15:00.606,0
26,63e551ac4bde7a495d8ec7d5,COMPLETED,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",2218,False,KOT,63aa73ccf0292921f4e7c2cb,1,2023-02-09 20:03:56.332,2023-02-09 21:09:33.973,0
27,63e552041159a16eb41ee78a,COMPLETED,"[{'dishId': '633e13c13c019d3208f40d7f', 'qty': 2}]",0,True,CASH,,280,2023-02-09 20:05:24.868,2023-02-09 20:05:34.572,0
28,63e55cae4bde7a495d8ec7fe,COMPLETED,"[{'dishId': '635a1cad06025e10cb96ef0b', 'qty': 2}, {'dishId': '63401b618cd7314eabb3f0c8', 'qty': 1}]",3917,False,KOT,63aa73ccf0292921f4e7c2cb,340,2023-02-09 20:50:54.478,2023-02-09 20:58:59.519,0
29,63e55ce34bde7a495d8ec81a,COMPLETED,"[{'dishId': '633eea02ddda646c34132043', 'qty': 1}]",9390,False,KOT,63aa73ccf0292921f4e7c2cb,230,2023-02-09 20:51:47.548,2023-02-09 21:23:33.133,0
30,63e55e954bde7a495d8ec865,COMPLETED,"[{'dishId': '635a1cad06025e10cb96ef0b', 'qty': 2}]",9190,False,KOT,63aa73ccf0292921f4e7c2cb,120,2023-02-09 20:59:01.617,2023-02-10 07:16:01.262,0
31,63e5627994c22c3ae2c6225a,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",7663,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:15:37.424,2023-02-09 21:15:37.424,0
32,63e563a315af2b3b20982b1a,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",1064,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:20:35.433,2023-02-09 21:20:35.433,0
33,63e565164bde7a495d8ee7ea,COMPLETED,"[{'dishId': '63401b618cd7314eabb3f0c8', 'qty': 1}]",2275,False,KOT,633b2d92029cd83e7424ccd0,220,2023-02-09 21:26:46.425,2023-02-09 21:28:53.079,0
34,63e565688dc3223c9284e885,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",4100,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:28:08.845,2023-02-09 21:28:08.845,0
35,63e5662f53ec5c3ce70088dc,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",7528,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:31:27.561,2023-02-09 21:31:27.561,0
36,63e5678553ec5c3ce70088e4,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",9561,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:37:09.821,2023-02-09 21:37:09.821,0
37,63e5682025f9dc3e222aabd6,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",6614,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:39:44.039,2023-02-09 21:39:44.039,0
38,63e569c08396903e5750ca75,NEW,"[{'dishId': '633eea64ddda646c34132047', 'qty': 1}]",1330,False,ONLINE,63aa73ccf0292921f4e7c2cb,1,2023-02-09 21:46:40.486,2023-02-09 21:46:40.486,0
39,63e5d4984bde7a495d8ee8a4,COMPLETED,"[{'dishId': '633e05243c019d3208f40d7d', 'qty': 2}, {'dishId': '6340500232270b02de0c0390', 'qty': 1}]",9542,False,KOT,63dfbab70ba9f315939dae94,261,2023-02-10 05:22:32.914,2023-02-10 07:03:19.111,0
